X,Результаты модуля (RealMathModule),Результаты модуля (IterMathModule)
-5.8317,2438435.3625291158,2438435.5598983844
-5.8306,2395344.3187261606,2395344.5097706895
-5.8295,2353069.560902952,2353069.745835426
-5.8284,2311594.1561094485,2311594.335135269
-5.8273,2270901.5594338262,2270901.732751337
-5.8262,2230975.604183614,2230975.771984364
-5.8251,2191800.492339803,2191800.6548088035
-5.824,2153360.7852755124,2153360.9425914413
-5.8229,2115641.3947310983,2115641.547066531
-5.8218,2078627.5740381242,2078627.7215597727
-5.8207,2042304.9095847772,2042305.052453643
-5.8196,2006659.3125149994,2006659.450886618
-5.8185,1971677.010655266,1971677.1446798902
-5.8174,1937344.54066129,1937344.6704840579
-5.8163,1903648.7403785633,1903648.8661396771
-5.8152,1870576.7414104328,1870576.8632453638
-5.8141,1838115.9618874309,1838116.0799270493
-5.813,1806254.099431861,1806254.213802594
-5.8119,1774979.1243120767,1774979.2351361027
-5.8108,1744279.2727808189,1744279.3801761593
-5.8097,1714143.040591892,1714143.1446726022
-5.8086,1684559.1766907612,1684559.277567051
-5.8075,1655516.6770730233,1655516.7748513846
-5.8064,1627004.7788066128,1627004.873589949
-5.8053,1599012.9542125626,1599013.0461003175
-5.8042,1571530.9052000253,1571530.9942883083
-5.8031,1544548.5577509103,1544548.6441325792
-5.802,1518056.056549779,1518056.1403145974
-5.8009,1492043.759755155,1492043.840989869
-5.7998,1466502.2339077166,1466502.3126961577
-5.7987,1441422.2489719323,1441422.325395148
-5.7976,1416794.7735069832,1416794.8476432886
-5.7965,1392610.9699634635,1392611.0418885653
-5.7954,1368862.1901022037,1368862.2598892807
-5.7943,1345539.9705319721,1345540.0382517548
-5.7932,1322636.0283622604,1322636.0940831196
-5.7921,1300142.2569684545,1300142.3207564896
-5.791,1278050.7218657916,1278050.783784892
-5.7899,1256353.6566892115,1256353.7168011507
-5.7888,1235043.4592763276,1235043.5176408247
-5.7877,1214112.6878502863,1214112.7445250568
-5.7866,1193554.0572999103,1193554.1123407711
-5.7855,1173360.435554537,1173360.489015448
-5.7844,1153524.8400507635,1153524.8919838925
-5.7833,1134040.4342885432,1134040.484744323
-5.7822,1114900.5244743351,1114900.5735015415
-5.7811,1096098.5562487526,1096098.6038945392
-5.78,1077628.1114964243,1077628.157806388
-5.7789,1059482.905235961,1059482.9502541735
-5.7778,1041656.7825875473,1041656.8263566452
-5.7767,1024143.7158163763,1024143.758377576
-5.7756,1006937.801449561,1006937.8428427303
-5.7745,990033.2574648345,990033.2977285158
-5.7734,973424.4205487552,973424.4597202135
-5.7722999999999995,957105.7434228358,957105.7815381212
-5.7712,941071.7922356295,941071.8293295971
-5.7701,925317.2440189524,925317.2801253105
-5.769,909836.8842067069,909836.9193580473
-5.7679,894625.6042143687,894625.6384422244
-5.7668,879678.3990777904,879678.432412653
-5.7657,864990.3651495198,864990.3976208701
-5.7646,850556.6978512323,850556.7294875918
-5.7635,836372.6894807616,836372.7203097121
-5.7624,822433.7270722669,822433.7571204819
-5.7613,808735.2903080942,808735.3196013733
-5.7602,795272.949481129,795272.9780444244
-5.7591,782042.363506084,782042.3913635274
-5.758,769039.2779786356,769039.3051535715
-5.7569,756259.5232810326,756259.5497960406
-5.7558,743699.0127330312,743699.0386099563
-5.7547,731353.7407869867,731353.7660469355
-5.7536,719219.7812657801,719219.8059292261
-5.7525,707293.285642925,707293.3097295947
-5.7514,695570.4813629808,695570.5048919824
-5.7503,684047.6702021203,684047.6931919444
-5.7492,672721.2266672123,672721.2491357448
-5.7481,661587.5964326072,661587.6183971422
-5.747,650643.2948137032,650643.316290974
-5.7459,639884.9052763102,639884.9262824946
-5.7448,629309.0779808589,629309.0985316182
